N_Features,Accuracy_pct,MacroF1_pct,Train_time_s,Predict_time_s,Memory_KB,Reduction_ratio
5,70.7317073170732,63.9664673599618,1.1372728,0.0552562,2220.0947265625,179.2
10,82.2539949537426,78.8622427086192,1.160947,0.0428653,2532.41015625,89.6
15,81.3288477712363,78.6335763964856,1.1201236,0.0513945,2532.6689453125,59.7333333333333
20,89.9915895710681,88.9015650225337,1.3422387,0.0776857,2845.02734375,44.8
25,91.1690496215307,90.5471572636884,1.0710765,0.074279,2845.2392578125,35.84
30,94.7855340622372,94.4151136422719,1.1931292,0.0572581,3157.587890625,29.8666666666667
50,96.1312026913373,95.7496271513519,1.1660767,0.0440723,3782.69140625,17.92
100,94.7014297729184,94.3686805631239,1.2147852,0.0476256,4408.953125,8.96
200,96.215306980656,96.0212963636872,1.0246112,0.0686127,4969.30859375,4.48
500,93.9444911690496,92.8480556836598,0.9558773,0.0926487,7242.375,1.792
896,86.0386879730866,82.3220464994237,1.0604879,0.0891693,9236.34375,1
