N_Features,Accuracy_pct,MacroF1_pct,Train_time_s,Predict_time_s,Memory_KB,Reduction_ratio
5,68.6868686868687,62.2702845716241,1.4716093,0.0568693,2218.6591796875,179.2
10,75.0841750841751,70.7360943540115,1.2105494,0.048394,2530.740234375,89.6
15,77.8619528619529,72.5935003119899,1.0086433,0.0407408,2530.9990234375,59.7333333333333
20,84.2592592592593,81.3807420412686,1.0340646,0.0407372,2843.119140625,44.8
25,82.4074074074074,77.5226991687808,0.8882679,0.0469896,2843.3369140625,35.84
30,87.1212121212121,84.3092717404681,0.9485941,0.0486516,3155.44921875,29.8666666666667
50,90.6565656565657,89.1248168828004,0.9067002,0.0475667,3780.08203125,17.92
100,92.3400673400673,90.8099993801635,0.8958174,0.0572256,4405.875,8.96
200,95.03367003367,94.1444996747124,0.7207712,0.0761516,4965.275390625,4.48
500,82.7441077441077,76.3170722540765,0.7634526,0.0751271,7236.5078125,1.792
896,86.5319865319865,83.4807181671384,0.790187,0.0740606,9228.822265625,1
