Model,Accuracy_pct,MacroF1_pct,Train_time_s,Predict_time_s,Throughput_obs_per_s,Model_size_KB
Subspace KNN,90.4882154882155,89.2899451745577,0.0640152,0.0293762666666667,40440.8093608446,3155.453125
Bagged Trees,88.8047138047138,88.128389595984,0.1247462,0.0158448333333333,74977.1218798978,1529.072265625
Cubic SVM,85.6060606060606,84.2684958495247,0.1174146,0.003082,385463.984425698,228.513671875
Wide NN (100),84.6801346801347,83.1966642096353,0.0923144,0.000720433333333333,1649007.54175728,33.396484375
Medium NN (25),82.996632996633,81.1314101360066,0.1126607,0.000652466666666667,1820782.67088996,12.888671875
Bilayered NN,82.5757575757576,80.32028913288,0.2359766,0.000796233333333333,1492024.95081006,15.322265625
Boosted Trees,79.96632996633,75.2551059947293,0.094947,0.0153769666666667,77258.410306324,218.439453125
Fine Tree,79.6296296296296,77.8235920389546,0.0069635,0.000670033333333333,1773046.1171086,35.4931640625
Narrow NN (10),76.3468013468014,73.3636119031409,0.5924885,0.0006396,1857410.88180113,8.787109375
Gaussian SVM,75.1683501683502,65.787840646751,0.0672016,0.152801633333333,7774.78600250565,439.990234375
Quadratic SVM,73.989898989899,69.7511298479724,0.0688763,0.00337916666666667,351565.967940814,336.513671875
RUSBoosted Trees,73.1481481481482,70.6430196119643,0.101309,0.0103729333333333,114528.837872926,218.439453125
Medium Tree,70.5387205387205,65.6207136889425,0.0056923,0.000461666666666667,2573285.19855596,10.5048828125
Linear Discriminant,66.1616161616162,61.6557115705379,0.00464,0.00145203333333333,818163.035742981,38.08203125
Naive Bayes,65.5723905723906,60.7597781567503,0.0740685,0.4901539,2423.72854729912,1337.177734375
Linear SVM,64.3097643097643,52.2683800916745,0.0487188,0.00314406666666667,377854.583236149,26.623046875
