Model,Accuracy_pct,MacroF1_pct,Train_time_s,Predict_time_s,Throughput_obs_per_s,Model_size_KB
Subspace KNN,94.5332211942809,93.9116388185304,0.0693249,0.0247983,47946.8350653069,3157.58984375
Bagged Trees,91.421362489487,90.3397190218391,0.1339139,0.0164211333333333,72406.6954371805,1312.966796875
Cubic SVM,90.6644238856182,89.5054457752453,0.1335587,0.00313966666666667,378702.622359061,178.763671875
Wide NN (100),89.0664423885618,87.9445959890744,0.1100366,0.000647133333333333,1837333.88276502,33.396484375
Medium NN (25),87.8889823380992,86.6867539897252,0.1162851,0.000675,1761481.48148148,12.888671875
Narrow NN (10),86.4592094196804,85.1316601857511,0.2355984,0.0006821,1743146.16625128,8.787109375
Bilayered NN,86.0386879730866,84.6417852561263,0.1089241,0.0006893,1724938.34324677,15.322265625
Boosted Trees,85.8704793944491,84.0447213847114,0.1017871,0.0116077,102432.006340619,218.439453125
Fine Tree,81.8334735071489,78.2311962820741,0.0058356,0.0004814,2469879.51807229,30.9736328125
Quadratic SVM,79.9831791421363,76.8257016167092,0.0462905,0.00319743333333333,371860.76332058,310.263671875
Gaussian SVM,78.1328847771236,74.1335605011732,0.0398253,0.00395903333333333,300325.837115121,458.990234375
Medium Tree,73.5071488645921,68.7532990047047,0.0042179,0.000521966666666667,2277923.23903187,10.6337890625
Linear Discriminant,71.3204373423045,66.781800145486,0.0046173,0.001163,1022355.97592433,38.08203125
RUSBoosted Trees,68.1244743481918,67.9912907423147,0.1224688,0.0121810666666667,97610.499354189,218.439453125
Naive Bayes,67.367535744323,65.5877438424539,0.0721689,0.479480366666667,2479.76785424165,1338.115234375
Linear SVM,65.0126156433978,47.7696179271364,0.0318685,0.00263063333333333,451982.412346837,26.623046875
