Model,Accuracy_pct,MacroF1_pct,Train_time_s,Predict_time_s,Throughput_obs_per_s,Model_size_KB
Subspace KNN,94.5332211942809,93.9682167866318,0.0765414,0.0289555333333333,41062.9632102557,3157.595703125
Bagged Trees,92.430613961312,91.7739357176659,0.1277478,0.0190285,62485.2195391124,1307.587890625
Cubic SVM,89.9074852817494,88.5582664170309,0.1299314,0.00389026666666667,305634.575179079,178.763671875
Wide NN (100),88.5618166526493,87.6191702811589,0.0988051,0.000759533333333333,1565434.9161766,33.396484375
Medium NN (25),88.0571909167367,86.6544958237131,0.1193861,0.0006654,1786895.10069131,12.888671875
Bilayered NN,86.2910008410429,84.7813973656126,0.1444195,0.000730333333333333,1628023.73345504,15.322265625
Boosted Trees,85.9545836837679,83.9858548041327,0.0932841,0.0152498,77968.2356489921,218.439453125
Fine Tree,83.6837678721615,80.0867380404739,0.0057855,0.000612833333333333,1940168.61571934,30.9736328125
Narrow NN (10),82.7586206896552,80.4746173959999,0.1923294,0.0006405,1856362.21701795,8.787109375
Quadratic SVM,80.3195962994113,77.4498739262735,0.0457588,0.0036405,326603.488531795,310.263671875
Gaussian SVM,77.5441547518923,73.0507875948803,0.0331014,0.00368916666666667,322295.007906031,458.990234375
Medium Tree,73.7594617325484,67.9845280475048,0.0044681,0.000528033333333333,2251751.78334701,10.6337890625
Linear Discriminant,70.8158116063919,65.893127295857,0.006186,0.00119386666666667,995923.609559973,38.08203125
RUSBoosted Trees,68.376787216148,68.1065391381863,0.1401158,0.013698,86800.9928456709,218.439453125
Naive Bayes,68.040370058873,66.5077384893229,0.0886254,0.476736033333333,2494.04265015699,1338.115234375
Linear SVM,65.0126156433978,47.5898562046736,0.0391405,0.0025318,469626.35279248,26.623046875
