subject_id,session,condition,folder_name,eeg_path,info_json_path,n_samples,duration_sec,n_channels_csv
202506,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202506\Session01\Test_kartonS01R000\eeg_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202506\Session01\Test_kartonS01R000\info.json,11350,44.34,32
202506,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202506\Session01\Test_camsiseS01R000\eeg_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202506\Session01\Test_camsiseS01R000\info.json,11533,45.05,32
202507,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202507\Session01\Test_kartonS01R000\eeg_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202507\Session01\Test_kartonS01R000\info.json,11316,44.2,32
202507,Session01,camsise,Test_camsiseS01R001,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202507\Session01\Test_camsiseS01R001\eeg_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202507\Session01\Test_camsiseS01R001\info.json,11488,44.88,32
202508,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202508\Session01\Test_kartonS01R000\eeg_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202508\Session01\Test_kartonS01R000\info.json,11553,45.13,32
202508,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202508\Session01\Test_camsiseS01R000\eeg_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202508\Session01\Test_camsiseS01R000\info.json,11737,45.85,32
202509,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202509\Session01\Test_kartonS01R000\eeg_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202509\Session01\Test_kartonS01R000\info.json,11552,45.12,32
202509,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202509\Session01\Test_camsiseS01R000\eeg_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202509\Session01\Test_camsiseS01R000\info.json,11736,45.84,32
202511,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202511\Session01\Test_kartonS01R000\eeg_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202511\Session01\Test_kartonS01R000\info.json,11505,44.94,32
202511,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202511\Session01\Test_camsiseS01R000\eeg_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202511\Session01\Test_camsiseS01R000\info.json,11648,45.5,32
202512,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202512\Session01\Test_kartonS01R000\eeg_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202512\Session01\Test_kartonS01R000\info.json,11504,44.94,32
202512,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202512\Session01\Test_camsiseS01R000\eeg_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202512\Session01\Test_camsiseS01R000\info.json,11665,45.57,32
202513,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202513\Session01\Test_kartonS01R000\eeg_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202513\Session01\Test_kartonS01R000\info.json,11331,44.26,32
