subject_id,accuracy,macro_f1,n_segments
202506,27.2727272727273,10.7142857142857,11
202507,100,25,11
202508,100,25,11
202509,9.09090909090909,4.16666666666667,11
202511,100,25,11
202512,0,0,11
202513,63.6363636363636,19.4444444444444,11
202514,0,0,11
202515,0,0,11
202516,0,0,11
202517,100,25,11
202518,100,25,11
202519,0,0,11
202520,100,25,11
202521,100,25,11
202522,100,25,11
202523,90.9090909090909,23.8095238095238,11
202524,9.09090909090909,4.16666666666667,11
202525,100,25,11
202526,100,25,11
202527,100,25,11
202528,100,25,11
202529,36.3636363636364,13.3333333333333,11
202530,9.09090909090909,4.16666666666667,11
202532,100,25,11
202533,100,25,11
202534,100,25,11
202537,100,25,11
202538,63.6363636363636,19.4444444444444,11
202539,100,25,11
202540,0,0,11
202541,100,25,11
202542,100,25,11
202543,100,25,11
202544,0,0,11
202546,9.09090909090909,4.16666666666667,11
202547,100,25,11
202548,100,25,11
202549,90.9090909090909,23.8095238095238,11
202550,100,25,11
202551,90.9090909090909,23.8095238095238,11
202552,100,25,11
202553,0,0,11
202554,0,0,11
202555,100,25,11
202556,100,25,11
202557,100,25,11
202560,0,0,11
202561,90.9090909090909,23.8095238095238,11
202562,72.7272727272727,21.0526315789474,11
202563,100,25,11
202564,0,0,11
202565,63.6363636363636,19.4444444444444,11
202566,0,0,11
