condition,target,model,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,recall_mean,elapsed_sec
all,valence,SVM_RBF,0.5168,0.0374,0.4834,0.088,0.5243,0.5168,1.7
all,valence,SVM_Linear,0.4962,0.0239,0.4857,0.0299,0.5134,0.4962,10.3
all,valence,RandomForest,0.5209,0.027,0.5096,0.0473,0.5371,0.5209,1.0
all,valence,GradientBoosting,0.5188,0.0248,0.5154,0.0347,0.5347,0.5188,14.5
all,valence,XGBoost,0.533,0.0361,0.5299,0.0423,0.5477,0.533,0.6
all,arousal,SVM_RBF,0.5065,0.0494,0.4248,0.1076,0.5127,0.5065,2.0
all,arousal,SVM_Linear,0.4757,0.0613,0.4397,0.0744,0.5312,0.4757,11.4
all,arousal,RandomForest,0.4629,0.0199,0.4529,0.021,0.4755,0.4629,1.1
all,arousal,GradientBoosting,0.45,0.0243,0.4495,0.0293,0.469,0.45,13.8
all,arousal,XGBoost,0.4741,0.0326,0.4744,0.0285,0.491,0.4741,0.6
