condition,target,model,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,recall_mean,elapsed_sec
camsise,valence,SVM_RBF,0.5019,0.0828,0.4727,0.1543,0.6089,0.5019,0.4
camsise,valence,SVM_Linear,0.5341,0.0626,0.5319,0.0739,0.6042,0.5341,2.2
camsise,valence,RandomForest,0.5096,0.0766,0.4885,0.0947,0.5655,0.5096,0.8
camsise,valence,GradientBoosting,0.5017,0.079,0.4893,0.0869,0.5431,0.5017,6.3
camsise,valence,XGBoost,0.505,0.0593,0.4932,0.0683,0.5434,0.505,0.5
camsise,arousal,SVM_RBF,0.5167,0.1549,0.494,0.1743,0.5462,0.5167,0.4
camsise,arousal,SVM_Linear,0.5223,0.1249,0.5293,0.1316,0.5463,0.5223,2.4
camsise,arousal,RandomForest,0.5565,0.144,0.5309,0.1717,0.5679,0.5565,0.8
camsise,arousal,GradientBoosting,0.542,0.1519,0.5387,0.1663,0.5732,0.542,6.0
camsise,arousal,XGBoost,0.5571,0.1329,0.5544,0.1432,0.5877,0.5571,0.5
