condition,target,model,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,recall_mean,elapsed_sec
karton,valence,SVM_RBF,0.598,0.0829,0.596,0.0827,0.6103,0.598,0.4
karton,valence,SVM_Linear,0.5712,0.0576,0.5688,0.0546,0.5868,0.5712,2.1
karton,valence,RandomForest,0.5749,0.0721,0.5723,0.0684,0.5897,0.5749,0.9
karton,valence,GradientBoosting,0.5498,0.0814,0.5474,0.0795,0.5637,0.5498,6.4
karton,valence,XGBoost,0.5699,0.0886,0.5678,0.0861,0.5848,0.5699,0.7
karton,arousal,SVM_RBF,0.4161,0.0919,0.4111,0.0875,0.4132,0.4161,0.5
karton,arousal,SVM_Linear,0.3855,0.0703,0.3855,0.0702,0.3867,0.3855,2.9
karton,arousal,RandomForest,0.3915,0.1167,0.387,0.109,0.3902,0.3915,0.9
karton,arousal,GradientBoosting,0.4383,0.1234,0.4327,0.1189,0.436,0.4383,6.4
karton,arousal,XGBoost,0.4204,0.1356,0.4151,0.1263,0.4216,0.4204,0.7
